ID,Start Date,Start Time,offensegroup,OFFENSE
24168,08/08/2022,11:12:00,property,theft f/auto
24169,08/19/2022,06:47:00,property,motor vehicle theft
24170,08/18/2022,17:10:00,property,theft f/auto
24171,04/27/2022,17:22:00,property,burglary
24172,04/24/2022,14:30:00,property,theft/other
24173,04/20/2022,10:16:00,property,theft/other
24174,04/27/2022,19:07:00,violent,assault w/dangerous weapon
24175,07/19/2022,11:35:00,violent,assault w/dangerous weapon
24176,07/24/2022,14:46:00,violent,robbery
24177,07/24/2022,14:53:00,violent,robbery
24178,08/08/2022,14:14:00,violent,robbery
24179,04/27/2022,18:05:00,property,theft f/auto
24180,04/27/2022,19:25:00,property,theft/other
24181,04/27/2022,19:50:00,property,theft/other
24182,04/26/2022,21:00:00,property,theft f/auto
